Case Description,Category,label
I’m seeking legal advice about enforcing a warranty claim.,Commercial,1
The husband filed for annulment claiming the marriage was forced.,Personal Status,0
I want to recover my rightful share of income from the dissolved company.,Commercial,1
The company reported a theft of expensive equipment from its warehouse.,Commercial,1
Employee misusing company funds.,Commercial,1
Fraudulent transaction in my bank account.,General,2
The victim claimed emotional and physical damage from a serious hospital error.,General,2
There was a disagreement over the dowry refund between the couple.,Personal Status,0
"An employee stole company property, and I want to take legal action.",Commercial,1
Authorities investigated the bank issue following multiple customer complaints.,Commercial,1
prove liability in a vehicle accident case.,General,2
"He was fined for traffic violations, including speeding and running a red light.",General,2
The wife filed for khula to end the marriage.,Personal Status,0
I’m seeking legal advice about a copyright dispute involving my song.,General,2
Someone defamed me online — what are my legal options?,General,2
The judge emphasized that the child’s interest comes first.,Personal Status,0
Ongoing conflict regarding child custody post divorce,Personal Status,0
I think someone stole my identity and used my personal information.,General,2
I need legal help because my landlord raised the rent without any notice.,Commercial,1
The case involves a partner committing tax evasion by hiding revenue.,Commercial,1
The company faced penalties for creating a public safety hazard near the facility.,Commercial,1
Someone is using my copyrighted images online.,General,2
What should I do if a customer complains about a service contract?,Commercial,1
What are my options in a custody dispute over a teenage child?,Personal Status,0
Illegal construction in public area.,General,2
The report confirmed major public safety concerns caused by poor maintenance.,General,2
